Name,Team,Level,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,xFIP,PlayerId
Joel Hurtado,LAA,AA,25,85.2,7.14396971990916,3.0466929687847886,2.34482759,1.365758917041457,0.19318182,0.08238636,0.11079546,0.21698113,1.1439690074364341,0.23628692,0.73113208,3.3618681034866635,5.185516939378514,-1.8236488358918508,4.705566191664828,sa3019774
Brett Gillis,HOU,AA,26,72.2,7.30734047248777,3.096330708681258,2.36,1.2385322834725032,0.19536424,0.08278146,0.11258278,0.21245421,1.1422019947579753,0.23529412,0.71232877,3.9633033071120107,5.013084841195975,-1.0497815340839645,4.898625003372296,sa3020110
Alex Williams,MIA,AA,26,71.1,8.705608097369335,3.7850469988562323,2.3,1.3878505662472853,0.21904762,0.0952381,0.12380952,0.24731183,1.3878505662472853,0.29145729,0.58035714,6.056075198169972,5.193753528353415,0.8623216698165566,4.799974934248562,sa3020314
Cedric De Grandpre,ATL,"A+,AA",24,79,12.531645569620252,3.8734177215189876,3.23529412,0.9113924050632911,0.32835821,0.10149254,0.22686567,0.21959459,1.2531645569620253,0.32022472,0.66810345,4.443037974683544,3.5738981681534012,0.8691398065301432,3.3576082166991656,sa3020315
Kyle Luckham,WSN,AA,26,79,7.860759493670886,2.848101265822785,2.76,0.7974683544303798,0.18548387,0.0672043,0.11827957,0.30409357,1.6329113924050633,0.36466165,0.65217391,5.468354430379747,4.125194643720796,1.3431597866589504,4.197634673420387,sa3020378
Shane Murphy,CHW,"AA,AAA",25,88.2,6.699248744779843,2.233082914926614,3,2.334586683786915,0.16966581,0.05655527,0.11311054,0.29362881,1.443609157124276,0.30514706,0.69744597,5.988722362757738,6.3883796372544515,-0.39965727449671373,5.19025836552533,sa3020389
Johnathan Harmon,CIN,AA,25,88.2,6.9022564309780075,3.146616902357621,2.19354839,1.9285716498320902,0.18428184,0.08401084,0.100271,0.25671642,1.3195490235693248,0.27016129,0.74946467,5.075188552189711,6.011897180572271,-0.9367086283825605,5.191059732882209,sa3020452
Trace Bright,BAL,"AA,AAA",25,74.1,9.92825001714689,5.085201228294749,1.95238095,1.5739908563769462,0.24773414,0.12688822,0.12084592,0.25524476,1.547085029772212,0.31413613,0.62124248,6.538115864950392,5.428196362998391,1.1099195019520005,5.3750975358226585,sa3020558
Ian Koenig,SDP,AA,25,78.2,7.207628050675221,3.2033902447445426,2.25,1.6016951223722713,0.1815562,0.08069164,0.10086455,0.25889968,1.3728815334619469,0.28448276,0.66056911,4.805085367116814,5.81171655797373,-1.0066311908569157,5.718581672872972,sa3020568
Ryan Ramsey,KCR,AAA,25,76,8.052631578947368,4.618421052631579,1.74358974,1.3026315789473684,0.19941349,0.1143695,0.08504399,0.26190476,1.5263157894736843,0.30697674,0.68139963,5.802631578947368,5.479168881868061,0.3234626970793073,5.499951274536158,sa3020605
Adam Serwinowski,LAD,AA,22,77.2,10.892705289351866,5.330472801172189,2.04347826,1.2746782785411757,0.27011494,0.13218391,0.13793103,0.23489933,1.4935624273815797,0.30569948,0.67877629,5.098713114164703,5.002630836919892,0.09608227724481022,4.9808558539362275,sa3020626
Trystan Vrieling,SFG,AA,25,75.2,8.08810681422657,6.066080110669928,1.33333333,1.0704847254123402,0.20795107,0.1559633,0.05198777,0.22262774,1.4801764104466928,0.26395939,0.7495069,4.044053407113285,5.431111359310807,-1.3870579521975221,5.482698849940011,sa3020681
Connor Staine,COL,AA,25,79,9,4.784810126582278,1.88095238,1.3670886075949367,0.23511905,0.125,0.11011905,0.2260274,1.3670886075949367,0.26865672,0.75107296,4.215189873417722,5.226460466505606,-1.0112705930878843,5.158919996702219,sa3020739
Dylan Cumming,CHW,"A+,AA",27,82,8.231707317073171,2.7439024390243905,3,1.2073170731707317,0.20661157,0.06887052,0.13774105,0.26911315,1.3780487804878048,0.31950207,0.66298343,5.158536585365853,4.822696364798197,0.3358402205676567,4.817288281096191,sa3020818
Payton Martin,LAD,AA,22,77.2,7.416309984239568,4.403434053142243,1.68421053,0.8111589045262028,0.18658892,0.11078717,0.07580175,0.28052805,1.5836911945511578,0.3362069,0.65104167,5.446352644675933,4.719368997244076,0.7269836474318572,5.291312541660824,sa3020869
